created,application_id,ref_type,ref_hash,click_hash,attributed,implicit,device_countrycode,device_brand,device_model,session_user_agent,user_agent,event_uuid,kind,wifi,trans_id,ip_address,device_language
2019-03-10 16:59:14.972,2,1891515180541284343,2724490566845190331,,False,False,6333597102633388268,3.2285160909036396e+18,5.538374693490678e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; 9008J Build/NRD90M),,,true,,1440105758475922523,9.0283826551012e+18
2019-03-10 16:58:25.844,2,1891515180541284343,5199447786135128252,,False,False,6333597102633388268,2.987569314309514e+18,5.189309128214286e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.1.0; Redmi S2 MIUI/V10.2.1.0.OEFMIXM),,,true,,4661451368959351361,9.0283826551012e+18
2019-03-10 20:24:49.726,2,1891515180541284343,5755584711199594053,,False,False,6333597102633388268,3.083058605577787e+17,7.647862436306216e+18,http-kit/2.0,Dalvik/1.6.0 (Linux; U; Android 4.3; SM-G3502T Build/JLS36C),,,true,,501759988080166811,9.0283826551012e+18
2019-03-10 20:23:01.977,2,1891515180541284343,4326125712319120030,,False,False,6333597102633388268,3.083058605577787e+17,9.177625620767355e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J200BT Build/LMY47X),,,true,,7630519719716162545,9.0283826551012e+18
2019-03-10 20:23:24.894,2,1891515180541284343,2904941256546424311,,False,False,6333597102633388268,3.2285160909036396e+18,3.0355427882567137e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0; 4034E Build/MRA58K),,,true,,7033843541019998551,9.0283826551012e+18
2019-03-10 20:31:32.968,2,1891515180541284343,6726125973034826430,,False,False,6333597102633388268,2.208834667126999e+18,9.109465530011918e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.1.1; Moto G Play Build/NPIS26.48-43-2),,,true,,2346150608084703032,9.0283826551012e+18
2019-03-10 20:38:38.707,2,1891515180541284343,4739286642742969613,,False,False,6333597102633388268,3.083058605577787e+17,6.56124975662784e+17,http-kit/2.0,Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-S5312C Build/KOT49H),,,true,,2403839579048525602,9.0283826551012e+18
2019-03-10 20:38:20.325,2,1891515180541284343,4739286642742969613,,False,True,6333597102633388268,3.083058605577787e+17,6.56124975662784e+17,http-kit/2.0,Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-S5312C Build/KOT49H),3ae013cc-e9db-406d-92f3-8fe6c2630155,open,true,,2403839579048525602,9.0283826551012e+18
2019-03-10 20:21:46.221,2,1891515180541284343,2396719670907901714,,False,False,6333597102633388268,3.083058605577787e+17,3.4096141721326387e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J600GT Build/R16NW),,,true,,864838011601358736,9.0283826551012e+18
2019-03-10 20:25:34.129,2,1891515180541284343,3443520098686797325,,False,False,6333597102633388268,2.208834667126999e+18,3.0574023248014715e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 9; moto g(6) play Build/PPP29.55-25),,,true,,5697173003228805448,9.0283826551012e+18
